category,k,found,total
PHONE_NUMBER,1,0.5833333333333333,6
PHONE_NUMBER,5,2.0833333333333335,12
PHONE_NUMBER,10,2.0833333333333335,12
PHONE_NUMBER,20,2.0833333333333335,12
PHONE_NUMBER,40,2.0833333333333335,12
DATE_TIME,1,3.0666666666666673,498
DATE_TIME,5,20.266666666666662,3588
DATE_TIME,10,20.266666666666662,3588
DATE_TIME,20,20.266666666666662,3588
DATE_TIME,40,20.266666666666662,3588
ID,1,0.24285714285714285,17
ID,5,2.1595238095238094,63
ID,10,2.1595238095238094,63
ID,20,2.1595238095238094,63
ID,40,2.1595238095238094,63
LOCATION,1,1.5928571428571427,222
LOCATION,5,4.428968253968254,600
LOCATION,10,4.428968253968254,600
LOCATION,20,4.428968253968254,600
LOCATION,40,4.428968253968254,600
ORGANIZATION,1,0,0
ORGANIZATION,5,2.3333333333333335,15
ORGANIZATION,10,2.3333333333333335,15
ORGANIZATION,20,2.3333333333333335,15
ORGANIZATION,40,2.3333333333333335,15
PERSON,1,28.543650793650762,4411
PERSON,5,30.36587301587298,4635
PERSON,10,30.36587301587298,4635
PERSON,20,30.36587301587298,4635
PERSON,40,30.36587301587298,4635
