category,k,found,total
PERSON,1,28.543650793650762,4411
PERSON,5,31.492796092796056,4769
PERSON,10,31.492796092796056,4769
PERSON,20,31.492796092796056,4769
PERSON,40,31.492796092796056,4769
ID,1,0.24285714285714285,17
ID,5,4.194047619047618,138
ID,10,4.194047619047618,138
ID,20,4.194047619047618,138
ID,40,4.194047619047618,138
PHONE_NUMBER,1,0.5833333333333333,6
PHONE_NUMBER,5,2.25,14
PHONE_NUMBER,10,2.25,14
PHONE_NUMBER,20,2.25,14
PHONE_NUMBER,40,2.25,14
DATE_TIME,1,1.2666666666666666,264
DATE_TIME,5,39.766666666666666,6653
DATE_TIME,10,39.766666666666666,6653
DATE_TIME,20,39.766666666666666,6653
DATE_TIME,40,39.766666666666666,6653
ORGANIZATION,1,0,0
ORGANIZATION,5,1.6666666666666665,16
ORGANIZATION,10,1.6666666666666665,16
ORGANIZATION,20,1.6666666666666665,16
ORGANIZATION,40,1.6666666666666665,16
LOCATION,1,1.5928571428571427,222
LOCATION,5,3.269047619047619,499
LOCATION,10,3.269047619047619,499
LOCATION,20,3.269047619047619,499
LOCATION,40,3.269047619047619,499
