category,k,found,total
PHONE_NUMBER,1,0.3333333333333333,2
PHONE_NUMBER,5,1.6666666666666665,14
PHONE_NUMBER,10,1.6666666666666665,14
PHONE_NUMBER,20,1.6666666666666665,14
PHONE_NUMBER,40,1.6666666666666665,14
LOCATION,1,0,0
LOCATION,5,1.525,243
LOCATION,10,1.525,243
LOCATION,20,1.525,243
LOCATION,40,1.525,243
ID,1,0.24285714285714285,17
ID,5,2.4023809523809523,65
ID,10,2.4023809523809523,65
ID,20,2.4023809523809523,65
ID,40,2.4023809523809523,65
PERSON,1,4.754761904761904,701
PERSON,5,30.18253968253965,4739
PERSON,10,30.18253968253965,4739
PERSON,20,30.18253968253965,4739
PERSON,40,30.18253968253965,4739
DATE_TIME,1,1.7333333333333332,339
DATE_TIME,5,15.73333333333334,2555
DATE_TIME,10,15.73333333333334,2555
DATE_TIME,20,15.73333333333334,2555
DATE_TIME,40,15.73333333333334,2555
ORGANIZATION,1,0,0
ORGANIZATION,5,2.833333333333333,15
ORGANIZATION,10,2.833333333333333,15
ORGANIZATION,20,2.833333333333333,15
ORGANIZATION,40,2.833333333333333,15
